"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2023","55.4786","55.8450","55.8533","55.5000","","0.02%"
"10/25/2023","55.4675","55.8316","55.8478","55.4250","","0.05%"
"10/24/2023","55.4409","55.8316","55.8423","55.4500","","0.00%"
"10/23/2023","55.4409","55.8231","55.8344","55.4500","","0.03%"
"10/20/2023","55.4237","55.8084","55.8259","55.3550","","0.05%"
"10/19/2023","55.3944","55.8084","55.8200","55.4100","","0.00%"
"10/18/2023","55.3944","55.8028","55.8112","55.3750","","-0.73%"
"10/17/2023","55.8028","55.7937","55.8056","55.3833","","0.02%"
"10/16/2023","55.7937","55.6418","55.7937","55.4000","","0.01%"
"10/13/2023","55.7882","55.7721","55.7882","55.6147","","0.03%"
"10/12/2023","55.7721","55.7721","55.7788","55.2950","","0.00%"
"10/11/2023","55.7721","55.7633","55.7749","55.5709","","0.02%"
"10/10/2023","55.7633","55.7578","55.7661","55.3100","","0.01%"
"10/09/2023","55.7578","55.7486","55.7578","55.5605","","0.02%"
"10/06/2023","55.7486","55.7321","55.7486","55.3100","","0.03%"
"10/05/2023","55.7321","55.7321","55.7415","55.2900","","0.00%"
"10/04/2023","55.7321","55.7293","55.7321","55.2500","","0.00%"
"10/03/2023","55.7293","55.7248","55.7293","55.2500","","0.01%"
"10/02/2023","55.7248","55.7224","55.7248","55.2400","","0.00%"
"09/29/2023","55.7224","55.3129","55.7224","55.2400","","0.92%"
"09/28/2023","55.2124","55.3129","55.3129","55.2400","","0.00%"
"09/27/2023","55.2124","55.3129","55.3129","55.2400","","0.00%"
"09/26/2023","55.2124","55.3106","55.3312","55.2400","","0.01%"
"09/25/2023","55.2080","55.3063","55.3290","55.2500","","0.02%"
"09/22/2023","55.1992","55.3041","55.4752","55.3041","","0.01%"
"09/21/2023","55.1948","55.2988","55.3465","55.2100","","0.02%"
"09/20/2023","55.1843","55.2963","55.3016","55.2200","","0.01%"
"09/19/2023","55.1793","55.2921","55.2963","55.2200","","0.02%"
"09/18/2023","55.1710","55.2900","55.4468","55.1750","","0.01%"
"09/15/2023","55.1666","55.2831","55.2954","55.1500","","0.03%"
"09/14/2023","55.1528","55.2831","55.2831","55.1500","","0.00%"
"09/13/2023","55.1528","55.2784","55.2831","55.2784","","0.02%"
"09/12/2023","55.1435","55.2784","55.2812","55.2000","","0.00%"
"09/11/2023","55.1435","55.2762","55.4192","55.2000","","0.01%"
"09/08/2023","55.1391","55.2696","55.4148","55.1250","","0.02%"
"09/07/2023","55.1258","55.2696","55.4058","55.1000","","0.00%"
"09/06/2023","55.1258","55.2649","55.4015","55.0550","","0.02%"
"09/05/2023","55.1165","55.2607","55.3921","55.0100","","0.02%"
"09/04/2023","55.1082","55.2583","55.3838","55.2583","","0.01%"
"09/01/2023","55.1032","55.2538","55.3787","55.2114","","0.02%"
"08/31/2023","55.0944","55.2390","55.3699","55.2390","","0.05%"
"08/30/2023","55.0647","55.2390","55.3522","55.2114","","0.00%"
"08/29/2023","55.0647","55.2296","55.3400","55.2114","","0.03%"
"08/28/2023","55.0460","55.2247","55.3213","55.2021","","0.02%"
"08/25/2023","55.0361","55.2159","55.2302","55.1972","","0.03%"
"08/24/2023","55.0185","55.2107","55.2936","54.9750","","0.02%"
"08/23/2023","55.0080","55.1961","55.2739","55.1686","","0.05%"
"08/22/2023","54.9789","55.1961","55.1994","54.9700","","0.00%"
"08/21/2023","54.9789","55.1873","55.2538","54.9400","","0.03%"
"08/18/2023","54.9613","55.1813","55.2361","54.9400","","0.02%"
"08/17/2023","54.9492","55.1719","55.1840","54.9300","","0.03%"
"08/16/2023","54.9305","55.1667","55.2052","54.9200","","0.02%"
"08/15/2023","54.9201","55.1576","55.1947","54.9386","","0.03%"
"08/14/2023","54.9020","55.1516","55.1765","54.8500","","0.02%"
"08/11/2023","54.8899","55.1367","55.1643","55.1241","","0.05%"
"08/10/2023","54.8602","55.1367","55.1455","55.1194","","0.00%"
"08/09/2023","54.8602","55.1280","55.1367","55.1280","","0.03%"
"08/08/2023","54.8427","55.1231","55.1307","55.1001","","0.02%"
"08/07/2023","54.8328","55.1140","55.1258","55.0873","","0.03%"
"08/04/2023","54.8147","55.1093","55.1167","54.7900","","0.02%"
"08/03/2023","54.8054","55.1006","55.1093","54.7800","","0.03%"
"08/02/2023","54.7879","55.0956","55.1034","54.7700","","0.02%"
"08/01/2023","54.7780","55.0872","55.0956","54.7600","","0.03%"
"07/31/2023","54.7611","55.0825","55.0872","54.7500","","0.02%"
"07/28/2023","54.7517","55.0801","55.0825","54.7300","","0.01%"
"07/27/2023","54.7468","55.0751","55.0801","54.7300","","0.02%"
"07/26/2023","54.7370","55.0727","55.0807","54.7300","","0.01%"
"07/25/2023","54.7320","55.0667","55.0934","54.7200","","0.02%"
"07/24/2023","54.7200","55.0639","55.0694","54.7050","","0.01%"
"07/21/2023","54.7145","55.0590","55.0737","54.6850","","0.02%"
"07/20/2023","54.7047","55.0565","55.0688","54.6850","","0.01%"
"07/19/2023","54.6998","55.0513","55.0620","54.6800","","0.02%"
"07/18/2023","54.6894","55.0484","55.0659","54.6800","","0.01%"
"07/17/2023","54.6834","54.9568","55.0569","54.6600","","0.02%"
"07/14/2023","54.6735","55.0406","55.0475","54.6600","","0.01%"
"07/13/2023","54.6680","55.0358","55.0434","54.6500","","0.02%"
"07/12/2023","54.6582","55.0333","55.1097","54.9114","","0.01%"
"07/11/2023","54.6533","55.0275","55.0540","54.6000","","0.02%"
"07/10/2023","54.6418","55.0251","55.0444","54.6100","","0.01%"
"07/07/2023","54.6369","55.0202","55.0415","54.6100","","0.02%"
"07/06/2023","54.6271","55.0169","55.0385","54.6100","","0.01%"
"07/05/2023","54.6205","55.0117","55.0440","54.8860","","0.02%"
"07/04/2023","54.6101","55.0093","55.0117","54.5200","","0.01%"
"07/03/2023","54.6052","55.0038","55.0093","54.6000","","-0.72%"
"06/30/2023","55.0038","54.9953","55.0121","54.5700","","0.02%"
"06/29/2023","54.9953","54.9902","55.1045","54.5600","","0.01%"
"06/28/2023","54.9902","54.9902","55.0107","54.5550","","0.00%"
"06/27/2023","54.9902","54.9819","55.0349","54.5500","","0.01%"
"06/26/2023","54.9819","54.9762","54.9819","54.5300","","0.01%"
"06/23/2023","54.9762","54.9678","54.9762","54.5200","","0.02%"
"06/22/2023","54.9678","54.9623","54.9733","54.5000","","0.01%"
"06/21/2023","54.9623","54.9544","54.9678","54.5000","","0.01%"
"06/20/2023","54.9544","54.9492","54.9725","54.4400","","0.01%"
"06/19/2023","54.9492","54.9408","54.9492","54.4400","","0.02%"
"06/16/2023","54.9408","54.9356","54.9408","54.4400","","0.01%"
"06/15/2023","54.9356","54.9274","54.9472","54.4150","","0.01%"
"06/14/2023","54.9274","54.9217","54.9302","54.4000","","0.01%"
"06/13/2023","54.9217","54.9133","54.9472","54.4500","","0.02%"
"06/12/2023","54.9133","54.6526","54.9472","54.4100","","0.94%"
"06/09/2023","54.4025","54.6444","54.7495","54.3900","","0.03%"
"06/08/2023","54.3861","54.6387","54.7891","54.4000","","0.02%"
"06/07/2023","54.3747","54.6303","54.7414","54.3950","","0.03%"
"06/06/2023","54.3579","54.6251","54.7716","54.3900","","0.02%"
"06/05/2023","54.3475","54.6170","54.6251","54.3600","","0.03%"
"06/02/2023","54.3312","54.6115","54.6170","54.3000","","0.02%"
"06/01/2023","54.3204","54.6034","54.7358","54.3500","","0.03%"
"05/31/2023","54.3041","54.5996","54.6062","54.3250","","0.01%"
"05/30/2023","54.2965","54.5977","54.6023","54.3000","","0.01%"
"05/29/2023","54.2927","54.5931","54.5977","54.5931","","0.02%"
"05/26/2023","54.2835","54.5914","54.5959","54.2750","","0.01%"
"05/25/2023","54.2802","54.5871","54.5942","54.3000","","0.02%"
"05/24/2023","54.2715","54.5849","54.5899","54.2500","","0.01%"
"05/23/2023","54.2672","54.5806","54.6847","54.2500","","0.02%"
"05/22/2023","54.2585","54.5787","54.6632","54.2400","","0.01%"
"05/19/2023","54.2547","54.5741","54.6096","54.2400","","0.02%"
"05/18/2023","54.2455","54.5717","54.5769","54.2400","","0.01%"
